symbol,Date,Close,High,low,Open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-10-21 00:00:00+00:00,116.87,118.705,116.45,116.67,89945980,116.2973764,118.1233856,115.8794343,116.0983564,89945980,0,1
AAPL,2020-10-22 00:00:00+00:00,115.75,118.04,114.59,117.45,101987954,115.1828641,117.4616438,114.0285477,116.8745346,101987954,0,1
AAPL,2020-10-23 00:00:00+00:00,115.04,116.55,114.28,116.39,82572645,114.4763428,115.9789443,113.7200666,115.8197283,82572645,0,1
AAPL,2020-10-26 00:00:00+00:00,115.05,116.55,112.88,114.01,111850657,114.4862938,115.9789443,112.3269261,113.4513895,111850657,0,1
AAPL,2020-10-27 00:00:00+00:00,116.6,117.28,114.5399,115.49,92276772,116.0286994,116.7053676,113.9786931,114.924138,92276772,0,1
AAPL,2020-10-28 00:00:00+00:00,111.2,115.43,111.1,115.05,143937823,110.6551575,114.864432,110.5556475,114.4862938,143937823,0,1
AAPL,2020-10-29 00:00:00+00:00,115.32,116.93,112.2,112.37,146129173,114.7549709,116.3570825,111.6502579,111.8194249,146129173,0,1
AAPL,2020-10-30 00:00:00+00:00,108.86,111.99,107.72,111.06,190573476,108.3266227,111.4412868,107.1922084,110.5158435,190573476,0,1
AAPL,2020-11-02 00:00:00+00:00,108.77,110.68,107.32,109.11,122866899,108.2370637,110.1377054,106.7941682,108.5753978,122866899,0,1
AAPL,2020-11-03 00:00:00+00:00,110.44,111.49,108.73,109.66,107624448,109.8988813,110.9437366,108.1972597,109.122703,107624448,0,1
AAPL,2020-11-04 00:00:00+00:00,114.95,115.59,112.35,114.14,138235482,114.3867838,115.023648,111.7995229,113.5807525,138235482,0,1
AAPL,2020-11-05 00:00:00+00:00,119.03,119.62,116.8686,117.95,126387074,118.4467932,119.0339024,116.2959833,117.3720848,126387074,0,1
AAPL,2020-11-06 00:00:00+00:00,118.69,119.2,116.13,118.32,114457922,118.3124546,118.8208323,115.7605978,117.9436316,114457922,0.205,1
AAPL,2020-11-09 00:00:00+00:00,116.32,121.99,116.05,120.5,154515315,115.9499934,121.6019575,115.6808523,120.1166971,154515315,0,1
AAPL,2020-11-10 00:00:00+00:00,115.97,117.59,114.13,115.55,138023390,115.6011068,117.2159537,113.7669597,115.1824428,138023390,0,1
